Time,Country Name,Population (Total)
2010,Afghanistan,28397812
2010,Albania,2856673
2010,Algeria,37062820
2010,American Samoa,55636
2010,Andorra,77907
2010,Angola,19549124
2010,Antigua and Barbuda,87233
2010,Argentina,40374224
2010,Armenia,2963496
2010,Aruba,101597
2010,Australia,22031800
2010,Austria,8389771
2010,Azerbaijan,9054332
2010,"Bahamas, The",360498
2010,Bahrain,1251513
2010,Bangladesh,151125475
2010,Barbados,280396
2010,Belarus,9490000
2010,Belgium,10920272
2010,Belize,308595
2010,Benin,9509798
2010,Bermuda,65124
2010,Bhutan,716939
2010,Bolivia,10156601
2010,Bosnia and Herzegovina,3845929
2010,Botswana,1969341
2010,Brazil,195210154
2010,Brunei Darussalam,400569
2010,Bulgaria,7395599
2010,Burkina Faso,15540284
2010,Burundi,9232753
2010,Cabo Verde,487601
2010,Cambodia,14364931
2010,Cameroon,20624343
2010,Canada,34005274
2010,Cayman Islands,55509
2010,Central African Republic,4349921
2010,Chad,11720781
2010,Channel Islands,159518
2010,Chile,17150760
2010,China,1337705000
2010,Colombia,46444798
2010,Comoros,683081
2010,"Congo, Dem. Rep.",62191161
2010,"Congo, Rep.",4111715
2010,Costa Rica,4669685
2010,Cote d'Ivoire,18976588
2010,Croatia,4417781
2010,Cuba,11281768
2010,Curacao,149311
2010,Cyprus,1103685
2010,Czech Republic,10474410
2010,Denmark,5547683
2010,Djibouti,834036
2010,Dominica,71167
2010,Dominican Republic,10016797
2010,Ecuador,15001072
2010,"Egypt, Arab Rep.",78075705
2010,El Salvador,6218195
2010,Equatorial Guinea,696167
2010,Eritrea,5741159
2010,Estonia,1331475
2010,Ethiopia,87095281
2010,Faeroe Islands,49581
2010,Fiji,860559
2010,Finland,5363352
2010,France,65023142
2010,French Polynesia,268065
2010,Gabon,1556222
2010,"Gambia, The",1680640
2010,Georgia,4452800
2010,Germany,81776930
2010,Ghana,24262901
2010,Greece,11153454
2010,Greenland,56905
2010,Grenada,104677
2010,Guam,159440
2010,Guatemala,14341576
2010,Guinea,10876033
2010,Guinea-Bissau,1586624
2010,Guyana,786126
2010,Haiti,9896400
2010,Honduras,7621204
2010,"Hong Kong SAR, China",7024200
2010,Hungary,10000023
2010,Iceland,318041
2010,India,1205624648
2010,Indonesia,240676485
2010,"Iran, Islamic Rep.",74462314
2010,Iraq,30962380
2010,Ireland,4560155
2010,Isle of Man,83992
2010,Israel,7623600
2010,Italy,59277417
2010,Jamaica,2690824
2010,Japan,127450459
2010,Jordan,6046000
2010,Kazakhstan,16321581
2010,Kenya,40909194
2010,Kiribati,97743
2010,"Korea, Dem. Rep.",24500520
2010,"Korea, Rep.",49410366
2010,Kosovo,1775680
2010,Kuwait,2991580
2010,Kyrgyz Republic,5447900
2010,Lao PDR,6395713
2010,Latvia,2097555
2010,Lebanon,4341092
2010,Lesotho,2008921
2010,Liberia,3957990
2010,Libya,6040612
2010,Liechtenstein,36120
2010,Lithuania,3097282
2010,Luxembourg,506953
2010,"Macao SAR, China",534626
2010,"Macedonia, FYR",2102216
2010,Madagascar,21079532
2010,Malawi,15013694
2010,Malaysia,28275835
2010,Maldives,325694
2010,Mali,13985961
2010,Malta,414508
2010,Marshall Islands,52428
2010,Mauritania,3609420
2010,Mauritius,1280924
2010,Mexico,117886404
2010,"Micronesia, Fed. Sts.",103619
2010,Moldova,3562045
2010,Monaco,36845
2010,Mongolia,2712738
2010,Montenegro,620078
2010,Morocco,31642360
2010,Mozambique,23967265
2010,Myanmar,51931231
2010,Namibia,2178967
2010,Nepal,26846016
2010,Netherlands,16615394
2010,New Caledonia,250000
2010,New Zealand,4367800
2010,Nicaragua,5822209
2010,Niger,15893746
2010,Nigeria,159707780
2010,Northern Mariana Islands,53860
2010,Norway,4889252
2010,Oman,2802768
2010,Pakistan,173149306
2010,Palau,20470
2010,Panama,3678128
2010,Papua New Guinea,6858945
2010,Paraguay,6459721
2010,Peru,29262830
2010,Philippines,93444322
2010,Poland,38183683
2010,Portugal,10573100
2010,Puerto Rico,3721208
2010,Qatar,1749713
2010,Romania,20246871
2010,Russian Federation,142385523
2010,Rwanda,10836732
2010,Samoa,186029
2010,San Marino,30861
2010,Sao Tome and Principe,178228
2010,Saudi Arabia,27258387
2010,Senegal,12950564
2010,Serbia,7291436
2010,Seychelles,89770
2010,Sierra Leone,5751976
2010,Singapore,5076700
2010,Sint Maarten (Dutch part),37850
2010,Slovak Republic,5391428
2010,Slovenia,2048583
2010,Solomon Islands,526447
2010,Somalia,9636173
2010,South Africa,50895698
2010,South Sudan,9940929
2010,Spain,46576897
2010,Sri Lanka,20653000
2010,St. Kitts and Nevis,52352
2010,St. Lucia,177397
2010,St. Martin (French part),30235
2010,St. Vincent and the Grenadines,109316
2010,Sudan,35652002
2010,Suriname,524960
2010,Swaziland,1193148
2010,Sweden,9378126
2010,Switzerland,7824909
2010,Syrian Arab Republic,21532647
2010,Tajikistan,7627326
2010,Tanzania,44973330
2010,Thailand,66402316
2010,Timor-Leste,1066409
2010,Togo,6306014
2010,Tonga,104098
2010,Trinidad and Tobago,1328095
2010,Tunisia,10549100
2010,Turkey,72137546
2010,Turkmenistan,5041995
2010,Turks and Caicos Islands,30993
2010,Tuvalu,9827
2010,Uganda,33987213
2010,Ukraine,45870700
2010,United Arab Emirates,8441537
2010,United Kingdom,62766365
2010,United States,309326295
2010,Uruguay,3371982
2010,Uzbekistan,28562400
2010,Vanuatu,236299
2010,"Venezuela, RB",29043283
2010,Vietnam,86932500
2010,Virgin Islands (U.S.),106267
2010,West Bank and Gaza,3811102
2010,"Yemen, Rep.",22763008
2010,Zambia,13216985
2010,Zimbabwe,13076978
,,
,,
,,
Data from database: World Development Indicators,,
Last Updated: 07/22/2014,,
